PlayerID,Team,Number,FirstName,LastName,Position,Status,Height,Weight,BirthDate,College,Experience,FantasyPosition,Active,PositionCategory,Name,Age,ExperienceString,BirthDateString,ShortName,CurrentTeam,CollegeDraftTeam,CollegeDraftYear,CollegeDraftRound,CollegeDraftPick,IsUndraftedFreeAgent,HeightFeet,HeightInches
21549,ATL,36.0,Tony,Brooks-James,RB,Active,"5'9""",179.0,1994-12-06T00:00:00,Oregon,2.0,RB,True,OFF,Tony Brooks-James,26.0,2nd Season,"December 6, 1994",T.Brooks-James,ATL,ATL,2019.0,0.0,0.0,True,5.0,9.0
18957,TEN,45.0,D'Onta,Foreman,RB,Active,"6'0""",233.0,1996-04-24T00:00:00,Texas,4.0,RB,True,OFF,D'Onta Foreman,25.0,4th Season,"April 24, 1996",D.Foreman,TEN,HOU,2017.0,4.0,102.0,False,6.0,0.0
21578,TEN,59.0,Tuzar,Skipper,OLB,Active,"6'3""",246.0,1995-06-05T00:00:00,Toledo,2.0,LB,True,DEF,Tuzar Skipper,26.0,3rd Season,"June 5, 1995",T.Skipper,TEN,PIT,2019.0,0.0,0.0,True,6.0,3.0
22557,ATL,25.0,Javian,Hawkins,RB,Active,"5'9""",196.0,1999-11-03T00:00:00,Louisville,0.0,RB,True,OFF,Javian Hawkins,21.0,Rookie,"November 3, 1999",J.Hawkins,ATL,ATL,2021.0,0.0,0.0,True,5.0,9.0
16887,ATL,28.0,Mike,Davis,RB,Active,"5'9""",220.0,1993-02-19T00:00:00,South Carolina,6.0,RB,True,OFF,Mike Davis,28.0,7th Season,"February 19, 1993",M.Davis,ATL,SF,2015.0,5.0,145.0,False,5.0,9.0
21102,LAC,45.0,Cole,Mazza,LS,Active,"6'1""",247.0,1995-02-14T00:00:00,Alabama,2.0,LS,True,ST,Cole Mazza,26.0,3rd Season,"February 14, 1995",C.Mazza,LAC,LAC,2019.0,0.0,0.0,True,6.0,1.0
22013,LAR,44.0,Steven,Wirtel,LS,Active,"6'4""",235.0,1997-10-03T00:00:00,Iowa State,1.0,LS,True,ST,Steven Wirtel,23.0,1st Season,"October 3, 1997",S.Wirtel,LAR,DET,2020.0,0.0,0.0,True,6.0,4.0
21110,LAC,79.0,Trey,Pipkins III,OT,Active,"6'6""",309.0,1996-09-05T00:00:00,Sioux Falls,2.0,OL,True,OFF,Trey Pipkins III,24.0,3rd Season,"September 5, 1996",T.Pipkins III,LAC,LAC,2019.0,4.0,104.0,False,6.0,6.0
21562,LAR,19.0,Devlin,Hodges,QB,Active,"6'1""",210.0,1996-04-12T00:00:00,Samford,2.0,QB,True,OFF,Devlin Hodges,25.0,2nd Season,"April 12, 1996",D.Hodges,LAR,PIT,2019.0,0.0,0.0,True,6.0,1.0
21581,LAR,0.0,Kareem,Orr,CB,Active,"5'11""",195.0,1997-01-02T00:00:00,Tennessee-Chattanooga,2.0,DB,True,DEF,Kareem Orr,24.0,2nd Season,"January 2, 1997",K.Orr,LAR,TEN,2019.0,0.0,0.0,True,5.0,11.0
